path,label
Dataset\Tinea\t-tinea-versicolor-184.jpg,1
Dataset\Tinea\v-tinea-groin-15.jpg,1
Dataset\Melanoma\ISIC_7439301.jpg,0
Dataset\Tinea\t-tinea-versicolor-165.jpg,1
Dataset\Melanoma\ISIC_7619491.jpg,0
Dataset\Melanoma\ISIC_6915808.jpg,0
Dataset\Tinea\t-tinea-foot-dorsum-21.jpg,1
Dataset\Melanoma\ISIC_7539588.jpg,0
Dataset\Tinea\t-tinea-foot-webs-57.jpg,1
Dataset\Tinea\t-candidiasis-large-skin-folds-18.jpg,1
Dataset\Tinea\3_5.jpg,1
Dataset\Tinea\t-tinea-laboratory-72.jpg,1
Dataset\Melanoma\ISIC_6831788.jpg,0
Dataset\Melanoma\ISIC_6790442.jpg,0
Dataset\Melanoma\ISIC_7386566.jpg,0
Dataset\Melanoma\ISIC_6960446.jpg,0
Dataset\Tinea\t-tinea-foot-plantar-33.jpg,1
Dataset\Tinea\t-perleche-38.jpg,1
Dataset\Melanoma\ISIC_7317429.jpg,0
Dataset\Melanoma\ISIC_7313348.jpg,0
Dataset\Melanoma\ISIC_7404937.jpg,0
Dataset\Tinea\t-tinea-face-38.jpg,1
Dataset\Tinea\t-tinea-scalp-19.jpg,1
Dataset\Tinea\t-tinea-groin-114.jpg,1
Dataset\Melanoma\ISIC_6807108.jpg,0
Dataset\Melanoma\ISIC_7167479.jpg,0
Dataset\Tinea\v-tinea-foot-webs-82.jpg,1
Dataset\Melanoma\ISIC_7184881.jpg,0
Dataset\Tinea\t-tinea-body-104.jpg,1
Dataset\Melanoma\ISIC_7110889.jpg,0
Dataset\Tinea\t-13Fissure042604.jpg,1
Dataset\Melanoma\ISIC_7323818.jpg,0
Dataset\Melanoma\ISIC_7520307.jpg,0
Dataset\Melanoma\ISIC_6676705.jpg,0
Dataset\Melanoma\ISIC_7544460.jpg,0
Dataset\Melanoma\ISIC_7409165.jpg,0
Dataset\Melanoma\ISIC_7579536.jpg,0
Dataset\Melanoma\ISIC_6957423.jpg,0
Dataset\Tinea\t-candidiasis-diaper-19.jpg,1
Dataset\Melanoma\ISIC_7417678.jpg,0
Dataset\Tinea\t-tinea-beard-10.jpg,1
Dataset\Melanoma\ISIC_6994149.jpg,0
Dataset\Tinea\t-tinea-foot-plantar-52.jpg,1
Dataset\Melanoma\ISIC_7365445.jpg,0
Dataset\Tinea\t-tinea-groin-61.jpg,1
Dataset\Tinea\t-tinea-foot-dorsum-4.jpg,1
Dataset\Tinea\t-tinea-foot-dorsum-44.jpg,1
Dataset\Melanoma\ISIC_6664275.jpg,0
Dataset\Tinea\t-tinea-versicolor-193.jpg,1
Dataset\Melanoma\ISIC_6760986.jpg,0
Dataset\Tinea\t-mycetoma-4.jpg,1
Dataset\Tinea\t-tinea-laboratory-57.jpg,1
Dataset\Melanoma\ISIC_7166317.jpg,0
Dataset\Melanoma\ISIC_7496511.jpg,0
Dataset\Tinea\t-tinea-palm-45.jpg,1
Dataset\Tinea\t-tinea-foot-dorsum-18.jpg,1
Dataset\Tinea\v-erosio-interdigitalis-blastomycetica-20.jpg,1
Dataset\Melanoma\ISIC_6876281.jpg,0
Dataset\Melanoma\ISIC_7588132.jpg,0
Dataset\Tinea\t-candidiasis-large-skin-folds-111.jpg,1
Dataset\Melanoma\ISIC_7332657.jpg,0
Dataset\Melanoma\ISIC_7205493.jpg,0
Dataset\Tinea\v-tinea-hand-dorsum-17.jpg,1
Dataset\Melanoma\ISIC_7468182.jpg,0
Dataset\Melanoma\ISIC_6662566.jpg,0
Dataset\Melanoma\ISIC_7505533.jpg,0
Dataset\Melanoma\ISIC_7106987.jpg,0
Dataset\Melanoma\ISIC_6737576.jpg,0
Dataset\Melanoma\ISIC_6943610.jpg,0
Dataset\Melanoma\ISIC_7148289.jpg,0
Dataset\Melanoma\ISIC_7331098.jpg,0
Dataset\Tinea\t-tinea-groin-23.jpg,1
Dataset\Melanoma\ISIC_7546480.jpg,0
Dataset\Melanoma\ISIC_6955095.jpg,0
Dataset\Tinea\v-perleche-42.jpg,1
Dataset\Tinea\3_4.jpg,1
Dataset\Melanoma\ISIC_7457790.jpg,0
Dataset\Melanoma\ISIC_6844329.jpg,0
Dataset\Melanoma\ISIC_7188164.jpg,0
Dataset\Tinea\t-tinea-palm-32.jpg,1
Dataset\Tinea\t-confluent-reticulate-papillomatosis-1.jpg,1
Dataset\Tinea\t-tinea-scalp-54.jpg,1
Dataset\Melanoma\ISIC_7233703.jpg,0
Dataset\Tinea\v-tinea-incognito-2.jpg,1
Dataset\Melanoma\ISIC_7326427.jpg,0
Dataset\Melanoma\ISIC_7177998.jpg,0
Dataset\Melanoma\ISIC_6709052.jpg,0
Dataset\Melanoma\ISIC_7342658.jpg,0
Dataset\Melanoma\ISIC_7311296.jpg,0
Dataset\Melanoma\ISIC_6655888.jpg,0
Dataset\Melanoma\ISIC_7161069.jpg,0
Dataset\Melanoma\ISIC_7603831.jpg,0
Dataset\Tinea\t-tinea-versicolor-101.jpg,1
Dataset\Melanoma\ISIC_7570176.jpg,0
Dataset\Tinea\t-tinea-foot-dorsum-9.jpg,1
Dataset\Melanoma\ISIC_7346228.jpg,0
Dataset\Tinea\t-tinea-versicolor-182.jpg,1
Dataset\Melanoma\ISIC_6981061.jpg,0
Dataset\Tinea\t-candidiasis-large-skin-folds-169.jpg,1
Dataset\Melanoma\ISIC_7521698.jpg,0
Dataset\Tinea\t-pitted-keratolysis-1.jpg,1
Dataset\Melanoma\ISIC_6905411.jpg,0
Dataset\Tinea\t-tinea-versicolor-154.jpg,1
Dataset\Tinea\t-tinea-hand-dorsum-35.jpg,1
Dataset\Melanoma\ISIC_7621674.jpg,0
Dataset\Melanoma\ISIC_6703029.jpg,0
Dataset\Melanoma\ISIC_7151508.jpg,0
Dataset\Melanoma\ISIC_7397420.jpg,0
Dataset\Melanoma\ISIC_7575131.jpg,0
Dataset\Melanoma\ISIC_7424388.jpg,0
Dataset\Tinea\t-candidiasis-large-skin-folds-108.jpg,1
Dataset\Melanoma\ISIC_6928442.jpg,0
Dataset\Tinea\t-tinea-incognito-42.jpg,1
Dataset\Melanoma\ISIC_6934211.jpg,0
Dataset\Melanoma\ISIC_7426904.jpg,0
Dataset\Tinea\t-tinea-foot-webs-17.jpg,1
Dataset\Tinea\t-tinea-incognito-15.jpg,1
Dataset\Melanoma\ISIC_7287053.jpg,0
Dataset\Tinea\t-perleche-15.jpg,1
Dataset\Melanoma\ISIC_7511365.jpg,0
Dataset\Melanoma\ISIC_6850708.jpg,0
Dataset\Melanoma\ISIC_7168106.jpg,0
Dataset\Melanoma\ISIC_7459806.jpg,0
Dataset\Tinea\t-tinea-body-197.jpg,1
Dataset\Melanoma\ISIC_6851091.jpg,0
Dataset\Melanoma\ISIC_6871361.jpg,0
Dataset\Melanoma\ISIC_6686144.jpg,0
Dataset\Melanoma\ISIC_6910922.jpg,0
Dataset\Melanoma\ISIC_6912979.jpg,0
Dataset\Melanoma\ISIC_7338250.jpg,0
Dataset\Melanoma\ISIC_7106500.jpg,0
Dataset\Tinea\t-intertrigo-11.jpg,1
Dataset\Melanoma\ISIC_7509284.jpg,0
Dataset\Tinea\t-tinea-body-135.jpg,1
Dataset\Melanoma\ISIC_7453962.jpg,0
Dataset\Melanoma\ISIC_6872638.jpg,0
Dataset\Melanoma\ISIC_6974497.jpg,0
Dataset\Melanoma\ISIC_7402256.jpg,0
Dataset\Tinea\t-tinea-body-126.jpg,1
Dataset\Melanoma\ISIC_7281080.jpg,0
Dataset\Tinea\t-tinea-foot-webs-37.jpg,1
Dataset\Tinea\t-tinea-versicolor-99.jpg,1
Dataset\Melanoma\ISIC_7032787.jpg,0
Dataset\Tinea\t-tinea-laboratory-44.jpg,1
Dataset\Melanoma\ISIC_7383044.jpg,0
Dataset\Melanoma\ISIC_7421856.jpg,0
Dataset\Tinea\t-tinea-face-44.jpg,1
Dataset\Tinea\t-tinea-scalp-38.jpg,1
Dataset\Tinea\v-perleche-51.jpg,1
Dataset\Melanoma\ISIC_7089905.jpg,0
Dataset\Tinea\t-intertrigo-86.jpg,1
Dataset\Tinea\t-tinea-primary-lesion-36.jpg,1
Dataset\Melanoma\ISIC_7319169.jpg,0
Dataset\Tinea\t-tinea-primary-lesion-6.jpg,1
Dataset\Melanoma\ISIC_7348651.jpg,0
Dataset\Tinea\t-perleche-2.jpg,1
Dataset\Melanoma\ISIC_7000780.jpg,0
Dataset\Melanoma\ISIC_7547714.jpg,0
Dataset\Melanoma\ISIC_7373240.jpg,0
Dataset\Melanoma\ISIC_6690811.jpg,0
Dataset\Melanoma\ISIC_6673506.jpg,0
Dataset\Tinea\t-tinea-body-20.jpg,1
Dataset\Melanoma\ISIC_7284349.jpg,0
Dataset\Melanoma\ISIC_7376321.jpg,0
Dataset\Melanoma\ISIC_7056918.jpg,0
Dataset\Melanoma\ISIC_7346224.jpg,0
Dataset\Melanoma\ISIC_7472736.jpg,0
Dataset\Melanoma\ISIC_7056748.jpg,0
Dataset\Melanoma\ISIC_6715805.jpg,0
Dataset\Melanoma\ISIC_7076710.jpg,0
Dataset\Tinea\t-tinea-foot-webs-74.jpg,1
Dataset\Tinea\t-tinea-palm-42.jpg,1
Dataset\Melanoma\ISIC_7064137.jpg,0
Dataset\Tinea\t-tinea-foot-webs-34.jpg,1
Dataset\Melanoma\ISIC_7063467.jpg,0
Dataset\Melanoma\ISIC_7173973.jpg,0
Dataset\Tinea\t-tinea-foot-dorsum-20.jpg,1
Dataset\Tinea\t-tinea-face-58.jpg,1
Dataset\Melanoma\ISIC_7339533.jpg,0
Dataset\Tinea\t-tinea-laboratory-42.jpg,1
Dataset\Melanoma\ISIC_6853087.jpg,0
Dataset\Tinea\t-pitted-keratolysis-5.jpg,1
Dataset\Melanoma\ISIC_6872685.jpg,0
Dataset\Tinea\t-candidiasis-large-skin-folds-92.jpg,1
Dataset\Melanoma\ISIC_7149122.jpg,0
Dataset\Tinea\t-tinea-incognito-33.jpg,1
Dataset\Melanoma\ISIC_6738013.jpg,0
Dataset\Tinea\t-tinea-laboratory-76.jpg,1
Dataset\Melanoma\ISIC_7033912.jpg,0
Dataset\Tinea\t-tinea-face-50.jpg,1
Dataset\Melanoma\ISIC_7466101.jpg,0
Dataset\Melanoma\ISIC_7164567.jpg,0
Dataset\Melanoma\ISIC_7252425.jpg,0
Dataset\Tinea\t-tinea-foot-dorsum-23.jpg,1
Dataset\Melanoma\ISIC_7068021.jpg,0
Dataset\Melanoma\ISIC_7293697.jpg,0
Dataset\Melanoma\ISIC_6706365.jpg,0
Dataset\Melanoma\ISIC_7441957.jpg,0
Dataset\Tinea\t-tinea-primary-lesion-60.jpg,1
Dataset\Tinea\v-erosio-interdigitalis-blastomycetica-22.jpg,1
Dataset\Melanoma\ISIC_7586106.jpg,0
Dataset\Melanoma\ISIC_7432526.jpg,0
Dataset\Melanoma\ISIC_7090324.jpg,0
Dataset\Tinea\t-tinea-primary-lesion-28.jpg,1
Dataset\Tinea\t-tinea-foot-webs-60.jpg,1
Dataset\Melanoma\ISIC_7186503.jpg,0
Dataset\Tinea\t-intertrigo-21.jpg,1
Dataset\Melanoma\ISIC_7089788.jpg,0
Dataset\Melanoma\ISIC_6982386.jpg,0
Dataset\Tinea\t-intertrigo-64.jpg,1
Dataset\Melanoma\ISIC_7281308.jpg,0
Dataset\Melanoma\ISIC_7522753.jpg,0
Dataset\Melanoma\ISIC_6973830.jpg,0
Dataset\Melanoma\ISIC_7355316.jpg,0
Dataset\Tinea\t-tinea-laboratory-22.jpg,1
Dataset\Melanoma\ISIC_6874310.jpg,0
Dataset\Melanoma\ISIC_7248532.jpg,0
Dataset\Melanoma\ISIC_7298784.jpg,0
Dataset\Melanoma\ISIC_7168301.jpg,0
Dataset\Melanoma\ISIC_7380175.jpg,0
Dataset\Melanoma\ISIC_7532154.jpg,0
Dataset\Tinea\t-candidiasis-large-skin-folds-103.jpg,1
Dataset\Melanoma\ISIC_7498132.jpg,0
Dataset\Melanoma\ISIC_7288895.jpg,0
Dataset\Tinea\v-tinea-palm-47.jpg,1
Dataset\Melanoma\ISIC_6843827.jpg,0
Dataset\Tinea\t-tinea-palm-24.jpg,1
Dataset\Melanoma\ISIC_7240709.jpg,0
Dataset\Melanoma\ISIC_7132685.jpg,0
Dataset\Melanoma\ISIC_7059403.jpg,0
Dataset\Tinea\t-majocchi-granuloma-1.jpg,1
Dataset\Melanoma\ISIC_7373780.jpg,0
Dataset\Tinea\v-tinea-scalp-13.jpg,1
Dataset\Melanoma\ISIC_7077047.jpg,0
Dataset\Melanoma\ISIC_7256075.jpg,0
Dataset\Melanoma\ISIC_7620347.jpg,0
Dataset\Tinea\t-candidiasis-diaper-23.jpg,1
Dataset\Tinea\t-tinea-primary-lesion-50.jpg,1
Dataset\Tinea\t-tinea-groin-66.jpg,1
Dataset\Melanoma\ISIC_6764541.jpg,0
Dataset\Tinea\t-tinea-scalp-39.jpg,1
Dataset\Melanoma\ISIC_7454512.jpg,0
Dataset\Melanoma\ISIC_7011683.jpg,0
Dataset\Tinea\t-tinea-hand-dorsum-37.jpg,1
Dataset\Tinea\t-tinea-versicolor-192.jpg,1
Dataset\Melanoma\ISIC_7164076.jpg,0
Dataset\Melanoma\ISIC_7107071.jpg,0
Dataset\Melanoma\ISIC_6722934.jpg,0
Dataset\Melanoma\ISIC_7284399.jpg,0
Dataset\Tinea\v-candidiasis-large-skin-folds-152.jpg,1
Dataset\Tinea\t-tinea-face-18.jpg,1
Dataset\Tinea\t-tinea-incognito-64.jpg,1
Dataset\Melanoma\ISIC_7233665.jpg,0
Dataset\Tinea\t-erosio-interdigitalis-blastomycetica-9.jpg,1
Dataset\Tinea\t-tinea-beard-4.jpg,1
Dataset\Melanoma\ISIC_7575815.jpg,0
Dataset\Melanoma\ISIC_6687278.jpg,0
Dataset\Melanoma\ISIC_7187154.jpg,0
Dataset\Melanoma\ISIC_7230027.jpg,0
Dataset\Melanoma\ISIC_6894346.jpg,0
Dataset\Melanoma\ISIC_6814221.jpg,0
Dataset\Melanoma\ISIC_6710875.jpg,0
Dataset\Melanoma\ISIC_6759319.jpg,0
Dataset\Melanoma\ISIC_7083830.jpg,0
Dataset\Melanoma\ISIC_6757765.jpg,0
Dataset\Melanoma\ISIC_7462981.jpg,0
Dataset\Melanoma\ISIC_7170431.jpg,0
Dataset\Tinea\t-tinea-body-129.jpg,1
Dataset\Tinea\t-tinea-foot-plantar-11.jpg,1
Dataset\Melanoma\ISIC_6888012.jpg,0
Dataset\Melanoma\ISIC_6871068.jpg,0
Dataset\Melanoma\ISIC_7044032.jpg,0
Dataset\Melanoma\ISIC_7288992.jpg,0
Dataset\Melanoma\ISIC_6876297.jpg,0
Dataset\Melanoma\ISIC_7440724.jpg,0
Dataset\Tinea\t-tinea-primary-lesion-26.jpg,1
Dataset\Tinea\t-tinea-incognito-20.jpg,1
Dataset\Melanoma\ISIC_6753364.jpg,0
Dataset\Tinea\t-tinea-laboratory-50.jpg,1
Dataset\Melanoma\ISIC_6725390.jpg,0
Dataset\Melanoma\ISIC_7164179.jpg,0
Dataset\Tinea\t-candidiasis-mouth-10.jpg,1
Dataset\Melanoma\ISIC_7599869.jpg,0
Dataset\Tinea\t-candidiasis-mouth-6.jpg,1
Dataset\Melanoma\ISIC_7242339.jpg,0
Dataset\Tinea\t-tinea-scalp-56.jpg,1
Dataset\Melanoma\ISIC_7310249.jpg,0
Dataset\Melanoma\ISIC_7228822.jpg,0
Dataset\Melanoma\ISIC_6808788.jpg,0
Dataset\Melanoma\ISIC_6786823.jpg,0
Dataset\Melanoma\ISIC_7319686.jpg,0
Dataset\Melanoma\ISIC_7453902.jpg,0
Dataset\Melanoma\ISIC_7201222.jpg,0
Dataset\Melanoma\ISIC_7149353.jpg,0
Dataset\Tinea\t-tinea-versicolor-126.jpg,1
Dataset\Tinea\t-tinea-body-184.jpg,1
Dataset\Tinea\t-tinea-palm-40.jpg,1
Dataset\Melanoma\ISIC_6808133.jpg,0
Dataset\Melanoma\ISIC_6870911.jpg,0
Dataset\Melanoma\ISIC_7079714.jpg,0
Dataset\Melanoma\ISIC_6822917.jpg,0
Dataset\Melanoma\ISIC_7302626.jpg,0
Dataset\Melanoma\ISIC_7186677.jpg,0
Dataset\Melanoma\ISIC_6700433.jpg,0
Dataset\Melanoma\ISIC_6932481.jpg,0
Dataset\Melanoma\ISIC_7180418.jpg,0
Dataset\Melanoma\ISIC_7335659.jpg,0
Dataset\Tinea\t-tinea-primary-lesion-52.jpg,1
Dataset\Melanoma\ISIC_7358425.jpg,0
Dataset\Melanoma\ISIC_6730885.jpg,0
Dataset\Tinea\t-tinea-versicolor-171.jpg,1
Dataset\Melanoma\ISIC_7563744.jpg,0
Dataset\Melanoma\ISIC_7495058.jpg,0
Dataset\Melanoma\ISIC_6950241.jpg,0
Dataset\Melanoma\ISIC_7612589.jpg,0
Dataset\Melanoma\ISIC_6961482.jpg,0
Dataset\Melanoma\ISIC_6714018.jpg,0
Dataset\Tinea\v-tinea-groin-13.jpg,1
Dataset\Melanoma\ISIC_6959018.jpg,0
Dataset\Melanoma\ISIC_7231735.jpg,0
Dataset\Melanoma\ISIC_7594368.jpg,0
Dataset\Tinea\t-tinea-body-188.jpg,1
Dataset\Tinea\t-confluent-reticulate-papillomatosis-6.jpg,1
Dataset\Melanoma\ISIC_6762560.jpg,0
Dataset\Melanoma\ISIC_7384213.jpg,0
Dataset\Melanoma\ISIC_7180318.jpg,0
Dataset\Tinea\v-intertrigo-52.jpg,1
Dataset\Tinea\t-erosio-interdigitalis-blastomycetica-17.jpg,1
Dataset\Tinea\t-tinea-body-12.jpg,1
Dataset\Melanoma\ISIC_7447456.jpg,0
Dataset\Melanoma\ISIC_7560723.jpg,0
Dataset\Tinea\t-candidiasis-large-skin-folds-98.jpg,1
Dataset\Tinea\t-tinea-face-61.jpg,1
Dataset\Tinea\t-tinea-body-145.jpg,1
Dataset\Tinea\t-tinea-groin-31.jpg,1
Dataset\Melanoma\ISIC_7278742.jpg,0
Dataset\Tinea\t-tinea-versicolor-80.jpg,1
Dataset\Melanoma\ISIC_7389276.jpg,0
Dataset\Melanoma\ISIC_6757973.jpg,0
Dataset\Tinea\t-kerion-18.jpg,1
Dataset\Melanoma\ISIC_6962990.jpg,0
Dataset\Melanoma\ISIC_6900559.jpg,0
Dataset\Tinea\t-intertrigo-5.jpg,1
Dataset\Melanoma\ISIC_7487202.jpg,0
Dataset\Melanoma\ISIC_7115079.jpg,0
Dataset\Tinea\v-tinea-palm-7.jpg,1
Dataset\Tinea\t-perleche-8.jpg,1
Dataset\Melanoma\ISIC_7366196.jpg,0
Dataset\Melanoma\ISIC_7096402.jpg,0
Dataset\Melanoma\ISIC_7165533.jpg,0
Dataset\Melanoma\ISIC_6974605.jpg,0
Dataset\Melanoma\ISIC_7623050.jpg,0
Dataset\Melanoma\ISIC_6767038.jpg,0
Dataset\Melanoma\ISIC_6773042.jpg,0
Dataset\Tinea\v-tinea-face-31.jpg,1
Dataset\Tinea\t-tinea-versicolor-136.jpg,1
Dataset\Melanoma\ISIC_7040108.jpg,0
Dataset\Melanoma\ISIC_7264599.jpg,0
Dataset\Melanoma\ISIC_6721869.jpg,0
Dataset\Melanoma\ISIC_7016839.jpg,0
Dataset\Melanoma\ISIC_6977092.jpg,0
Dataset\Melanoma\ISIC_7271003.jpg,0
Dataset\Melanoma\ISIC_6773367.jpg,0
Dataset\Melanoma\ISIC_6681802.jpg,0
Dataset\Tinea\t-tinea-primary-lesion-54.jpg,1
Dataset\Tinea\t-tinea-laboratory-70.jpg,1
Dataset\Melanoma\ISIC_7076242.jpg,0
Dataset\Melanoma\ISIC_7540824.jpg,0
Dataset\Tinea\4_33.jpg,1
Dataset\Melanoma\ISIC_6900405.jpg,0
Dataset\Melanoma\ISIC_7086619.jpg,0
Dataset\Tinea\t-tinea-body-162.jpg,1
Dataset\Melanoma\ISIC_6693976.jpg,0
Dataset\Tinea\t-candidiasis-mouth-8.jpg,1
Dataset\Melanoma\ISIC_7407589.jpg,0
Dataset\Tinea\v-tinea-face-55.jpg,1
Dataset\Melanoma\ISIC_6983485.jpg,0
Dataset\Melanoma\ISIC_6826692.jpg,0
Dataset\Melanoma\ISIC_6942436.jpg,0
Dataset\Melanoma\ISIC_7477963.jpg,0
Dataset\Tinea\v-13TineaIncognito2.jpg,1
Dataset\Tinea\v-intertrigo-57.jpg,1
Dataset\Melanoma\ISIC_7413098.jpg,0
Dataset\Melanoma\ISIC_7483981.jpg,0
Dataset\Melanoma\ISIC_6877742.jpg,0
Dataset\Melanoma\ISIC_6669601.jpg,0
Dataset\Tinea\v-tinea-incognito-22.jpg,1
Dataset\Melanoma\ISIC_6705662.jpg,0
Dataset\Tinea\t-majocchi-granuloma-11.jpg,1
Dataset\Melanoma\ISIC_6908183.jpg,0
Dataset\Tinea\t-tinea-foot-webs-58.jpg,1
Dataset\Tinea\t-candidiasis-large-skin-folds-12.jpg,1
Dataset\Melanoma\ISIC_7159150.jpg,0
